type,ID,MC,SF,CSM,_JWDWZZB__ID,_JWDWZZB__WD,_JWDWZZB__JD,
ZGCS,aece4f4d-02a4-43d2-9e31-033db75dfed5,山西省阳泉市,山西省,阳泉市,aece4f4d-02a4-43d2-9e31-033db75dfed5,37.85667326,113.5578056,
ZGCS,708931ca-ad42-4907-bd46-d2cd6ed8fe9d,山西省长治市,山西省,长治市,708931ca-ad42-4907-bd46-d2cd6ed8fe9d,36.045422,113.04483,
ZGCS,b22524f8-c1e2-4957-8efc-5885be7b7fed,山西省晋城市,山西省,晋城市,b22524f8-c1e2-4957-8efc-5885be7b7fed,35.50099855,112.8264787,
ZGCS,903bbed7-cdf6-4594-a780-687543e6b3ed,山西省朔州市,山西省,朔州市,903bbed7-cdf6-4594-a780-687543e6b3ed,39.31331972,112.4157972,
ZGCS,cc66cb63-8d50-4c23-a8a1-e6fa45ec3597,山西省晋中市,山西省,晋中市,cc66cb63-8d50-4c23-a8a1-e6fa45ec3597,37.7012734,112.7362014,
ZGCS,ebbad468-de0a-4792-9a1a-8749c5116f54,山西省运城市,山西省,运城市,ebbad468-de0a-4792-9a1a-8749c5116f54,35.01629739,110.9840061,
ZGCS,c3b9c009-3400-4b3f-8eb4-e01ad470e3b3,山西省忻州市,山西省,忻州市,c3b9c009-3400-4b3f-8eb4-e01ad470e3b3,38.40158409,112.7302016,
ZGCS,284ab395-572d-4768-ab09-ae68da4dc5de,山西省临汾市,山西省,临汾市,284ab395-572d-4768-ab09-ae68da4dc5de,36.08368167,111.5080038,
ZGCS,a2dd370f-c69a-45a6-bde5-d34490324afe,山西省吕梁市,山西省,吕梁市,a2dd370f-c69a-45a6-bde5-d34490324afe,37.52225203,111.1334813,
ZGCS,d68236fc-f151-4270-bf53-00a82236607d,内蒙古自治区呼和浩特市,内蒙古自治区,呼和浩特市,d68236fc-f151-4270-bf53-00a82236607d,40.81439383,111.6486551,
ZGCS,47288c1e-4460-49a7-8777-39cee10a77e6,内蒙古自治区包头市,内蒙古自治区,包头市,47288c1e-4460-49a7-8777-39cee10a77e6,40.65856664,109.8080981,
ZGCS,f62d334f-a362-47bb-a2bd-1b26dcf9480d,内蒙古自治区乌海市,内蒙古自治区,乌海市,f62d334f-a362-47bb-a2bd-1b26dcf9480d,39.66143144,106.8008014,
ZGCS,2c6f2c64-8a64-4479-9dac-c409325ac3a5,内蒙古自治区赤峰市,内蒙古自治区,赤峰市,2c6f2c64-8a64-4479-9dac-c409325ac3a5,42.2695243,118.9545098,
ZGCS,8bb03827-d3b7-42ba-b83c-5bcab28f6d7c,内蒙古自治区通辽市,内蒙古自治区,通辽市,8bb03827-d3b7-42ba-b83c-5bcab28f6d7c,43.6122704,122.2703819,
ZGCS,04d93477-32b4-433f-9732-88081f999602,内蒙古自治区鄂尔多斯市,内蒙古自治区,鄂尔多斯市,04d93477-32b4-433f-9732-88081f999602,39.82085982,109.9839284,
